,index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Price
26,26,Air India,2019-01-03,Mumbai,Hyderabad,BOM → HYD,13:55,90,non-stop,10082
27,27,Vistara,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,6:40,915,1 stop,18387
28,28,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1365,1 stop,25735
29,29,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,7:00,375,1 stop,26890
30,30,IndiGo,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,19:35,300,1 stop,22153
31,31,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,1050,1 stop,25735
32,32,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,6:45,330,1 stop,23677
33,33,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1090,1 stop,22270
34,34,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1220,1 stop,20800
35,35,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1310,1 stop,25735
36,36,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,7:00,550,1 stop,26890
37,37,GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,7:45,175,non-stop,13663
38,38,SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,17:15,150,non-stop,5515
39,39,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,7:00,860,1 stop,27992
40,40,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,640,1 stop,31825
41,41,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,530,1 stop,26890
42,42,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,23:30,170,non-stop,10067
43,43,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,11:05,665,2 stops,13576
44,44,Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,5:45,300,1 stop,52229
45,45,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,18:40,890,1 stop,31825
46,46,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,755,1 stop,31825
47,47,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,22:20,170,non-stop,11934
48,48,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,5:50,980,2 stops,13576
49,49,Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,1510,1 stop,15434
50,50,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1200,1 stop,22270
51,51,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → DEL,19:55,160,non-stop,18308
52,52,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,13:00,170,non-stop,19685
53,53,Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,21:10,165,non-stop,25703
54,54,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:55,1210,1 stop,26890
55,55,Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,6:10,165,non-stop,15676
56,56,Air India,2019-01-03,Banglore,New Delhi,BLR → BBI → DEL,9:30,855,1 stop,12704
57,57,Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,1155,1 stop,10246
58,58,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,7:00,800,1 stop,27992
59,59,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1350,1 stop,25735
60,60,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → NAG → DEL,8:50,1545,2 stops,31783
61,61,Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,7:00,160,non-stop,21520
62,62,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,5:50,1645,1 stop,13439
63,63,IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,17:15,160,non-stop,6565
64,64,IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,5:15,285,1 stop,8064
65,65,Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,5:45,400,1 stop,62427
66,66,IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,14:20,155,non-stop,6565
67,67,SpiceJet,2019-01-03,Chennai,Kolkata,MAA → CCU,8:20,135,non-stop,7298
68,68,Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,11:30,160,non-stop,12648
69,69,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → DEL,5:50,630,2 stops,15119
70,70,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:00,435,1 stop,22270
71,71,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,8:50,2345,2 stops,17135
72,72,Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → DEL,10:30,1490,1 stop,11528
73,73,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,7:10,175,non-stop,11934
74,74,Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,13:20,170,non-stop,12526
75,75,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,8:50,1475,2 stops,25430
76,76,Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,21:10,175,non-stop,21730
77,77,Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,12:50,385,1 stop,36983
78,78,GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,20:55,175,non-stop,18558
79,79,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,5:50,1620,3 stops,13081
80,80,Air India,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,0:30,1200,1 stop,14752
81,81,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:00,490,1 stop,22270
82,82,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,18:55,170,non-stop,14306
83,83,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1280,1 stop,20800
84,84,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,305,1 stop,36235
85,85,IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,16:15,260,1 stop,7917
86,86,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,5:45,875,1 stop,27992
87,87,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,5:45,935,1 stop,27992
88,88,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,695,1 stop,31825
89,89,Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,950,1 stop,10981
90,90,Air India,2019-01-03,Banglore,New Delhi,BLR → BBI → DEL,9:30,1595,1 stop,12704
91,91,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:00,1455,1 stop,22270
92,92,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,11:05,1330,1 stop,13439
93,93,SpiceJet,2019-01-03,Banglore,New Delhi,BLR → PNQ → DEL,10:20,475,1 stop,23267
94,94,IndiGo,2019-01-03,Delhi,Cochin,DEL → HYD → MAA → COK,4:55,985,2 stops,10278
95,95,IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,2:30,90,non-stop,16000
96,96,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,365,1 stop,54826
97,97,SpiceJet,2019-01-03,Chennai,Kolkata,MAA → CCU,9:30,155,non-stop,7298
98,98,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1450,1 stop,25735
99,99,Air India,2019-01-03,Banglore,New Delhi,BLR → COK → DEL,22:00,920,1 stop,21130
100,100,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:00,625,1 stop,26890
101,101,IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,14:40,145,non-stop,7295
102,102,SpiceJet,2019-01-03,Banglore,New Delhi,BLR → DEL,9:35,175,non-stop,11690
103,103,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,435,1 stop,36235
104,104,Air Asia,2019-01-03,Kolkata,Banglore,CCU → BLR,10:20,155,non-stop,5620
105,105,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,7:00,325,1 stop,26890
106,106,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:55,950,1 stop,26890
107,107,Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,19:40,160,non-stop,21730
108,108,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,8:50,2315,2 stops,25430
109,109,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1055,1 stop,22270
110,110,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,965,1 stop,25735
111,111,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,20:00,175,non-stop,14306
112,112,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,20:35,890,1 stop,31825
113,113,Air India,2019-01-03,Chennai,Kolkata,MAA → CCU,11:40,135,non-stop,19630
114,114,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,5:50,1015,1 stop,14069
115,115,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:55,380,1 stop,26890
116,116,GoAir,2019-01-03,Banglore,New Delhi,BLR → GOI → DEL,15:45,270,1 stop,12314
117,117,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1045,1 stop,22270
118,118,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,920,1 stop,26890
119,119,SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,6:55,160,non-stop,4622
120,120,Jet Airways,2019-01-03,Mumbai,Hyderabad,BOM → HYD,7:10,85,non-stop,17501
121,121,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:00,315,1 stop,22270
122,122,Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → VGA → DEL,17:00,1795,2 stops,14887
123,123,GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,11:40,175,non-stop,11111
124,124,IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,20:25,160,non-stop,4778
125,125,IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,6:20,85,non-stop,17501
126,126,Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,370,1 stop,11628
127,127,SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,9:00,150,non-stop,5515
128,128,Jet Airways,2019-01-03,Mumbai,Hyderabad,BOM → HYD,10:20,90,non-stop,10875
129,129,IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,21:20,85,non-stop,12475
130,130,IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,15:20,155,non-stop,6565
131,131,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,8:50,905,2 stops,17345
132,132,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,640,1 stop,26890
133,133,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,5:45,760,1 stop,26890
134,134,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,16:55,170,non-stop,12649
135,135,Vistara,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,6:40,1665,1 stop,12371
136,136,IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,12:00,85,non-stop,12475
137,137,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,6:45,1600,2 stops,26480
138,138,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,375,1 stop,26890
139,139,Air India,2019-01-03,Banglore,New Delhi,BLR → GAU → DEL,13:50,1730,1 stop,17198
140,140,Air Asia,2019-01-03,Kolkata,Banglore,CCU → BLR,19:35,150,non-stop,5964
141,141,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,5:45,570,1 stop,26890
142,142,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,5:45,625,1 stop,26890
143,143,Air India,2019-01-03,Mumbai,Hyderabad,BOM → HYD,19:30,75,non-stop,15385
144,144,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:55,435,1 stop,26890
145,145,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:55,570,1 stop,26890
146,146,Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,0:20,780,1 stop,29528
147,147,IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,9:10,90,non-stop,13999
148,148,Multiple carriers,2019-01-03,Delhi,Cochin,DEL → HYD → COK,14:35,465,1 stop,14762
149,149,IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,16:55,295,1 stop,8153
150,150,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1165,1 stop,25735
151,151,IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,22:10,165,non-stop,4778
152,152,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1290,1 stop,25735
153,153,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,375,1 stop,27992
154,154,Vistara Premium economy,2019-01-03,Chennai,Kolkata,MAA → CCU,7:05,135,non-stop,9125
155,155,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1135,1 stop,20800
156,156,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,7:00,685,1 stop,26890
157,157,Air India,2019-01-03,Mumbai,Hyderabad,BOM → HYD,15:00,85,non-stop,6092
158,158,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1555,1 stop,26890
159,159,IndiGo,2019-01-03,Banglore,New Delhi,BLR → NAG → DEL,16:50,285,1 stop,13302
160,160,SpiceJet,2019-01-03,Mumbai,Hyderabad,BOM → HYD,5:45,80,non-stop,12475
161,161,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:00,1265,1 stop,22270
162,162,Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,5:45,340,1 stop,79512
163,163,Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,0:20,910,1 stop,23170
164,164,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,5:45,805,1 stop,27992
165,165,IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,21:25,160,non-stop,4778
166,166,Air Asia,2019-01-03,Banglore,New Delhi,BLR → DEL,23:25,165,non-stop,10873
167,167,SpiceJet,2019-01-03,Chennai,Kolkata,MAA → CCU,17:45,140,non-stop,7718
168,168,Air India,2019-01-03,Banglore,New Delhi,BLR → COK → DEL,22:00,1520,1 stop,14305
169,169,IndiGo,2019-01-03,Banglore,New Delhi,BLR → IDR → DEL,13:40,295,1 stop,8707
170,170,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1220,1 stop,25735
171,171,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,470,1 stop,26890
172,172,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BDQ → DEL,5:50,390,1 stop,28097
173,173,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,11:05,525,1 stop,14594
174,174,Air India,2019-01-03,Kolkata,Banglore,CCU → BLR,14:15,150,non-stop,6535
175,175,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,8:30,180,non-stop,10067
176,176,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1280,1 stop,20800
177,177,IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,9:35,165,non-stop,6565
178,178,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,7:00,495,1 stop,26890
179,179,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,8:55,745,1 stop,27992
180,180,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,580,1 stop,27992
181,181,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,18:25,175,non-stop,12649
182,182,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,18:40,860,1 stop,31825
183,183,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,8:50,875,2 stops,26743
184,184,SpiceJet,2019-01-03,Mumbai,Hyderabad,BOM → HYD,22:45,85,non-stop,11005
185,185,IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,7:30,290,1 stop,8110
186,186,Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,9:45,280,1 stop,57209
187,187,Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,23:00,1215,1 stop,27430
188,188,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,21:20,175,non-stop,12649
189,189,Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,19:00,395,1 stop,23533
190,190,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → IDR → DEL,6:45,1705,2 stops,20999
191,191,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,18:40,365,1 stop,35185
192,192,IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,12:10,295,1 stop,9694
193,193,Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,725,1 stop,26092
194,194,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,7:00,1325,1 stop,26890
195,195,Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,11:05,700,1 stop,14069
196,196,IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,5:15,140,non-stop,7295
197,197,Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → IDR → DEL,8:50,1580,2 stops,19372
198,198,IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,10:05,175,non-stop,10067
199,199,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:25,1120,1 stop,11467
200,200,SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,22:20,140,non-stop,3873
201,201,IndiGo,2019-01-04,Mumbai,Hyderabad,BOM → HYD,9:10,90,non-stop,3342
202,202,Vistara,2019-01-04,Banglore,Delhi,BLR → DEL,9:45,170,non-stop,5403
203,203,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1400,1 stop,7064
204,204,Air Asia,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,7:35,710,1 stop,5192
205,205,Air India,2019-01-04,Kolkata,Banglore,CCU → IXR → DEL → BLR,5:50,1045,2 stops,11516
206,206,Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,1165,2 stops,12639
207,207,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,9:35,575,1 stop,9314
208,208,Air India,2019-01-04,Banglore,Delhi,BLR → DEL,21:05,170,non-stop,4441
209,209,Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → COK → TRV → BLR,10:00,1470,3 stops,12954
210,210,IndiGo,2019-01-04,Banglore,Delhi,BLR → DEL,0:30,175,non-stop,4423
211,211,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1285,1 stop,7064
212,212,Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,15:15,175,non-stop,4544
213,213,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1495,1 stop,7064
214,214,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,6:30,855,1 stop,12681
215,215,Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → AMD → BLR,7:00,1345,2 stops,12219
216,216,Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,6:00,165,non-stop,7229
217,217,Vistara,2019-01-04,Banglore,Delhi,BLR → DEL,7:00,160,non-stop,5403
218,218,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,6:30,800,1 stop,12681
219,219,Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,11:10,175,non-stop,7229
220,220,IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,14:25,150,non-stop,4174
221,221,Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,17:00,1065,1 stop,9187
222,222,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1400,1 stop,12681
223,223,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1720,1 stop,12681
224,224,Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,17:45,180,non-stop,7229
225,225,SpiceJet,2019-01-04,Delhi,Cochin,DEL → PNQ → COK,8:45,270,1 stop,4812
226,226,Jet Airways,2019-01-04,Delhi,Cochin,DEL → BOM → COK,17:30,1145,1 stop,5406
227,227,Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:30,745,1 stop,7893
228,228,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,960,1 stop,12681
229,229,Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,7:10,975,1 stop,7927
230,230,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,14:05,570,1 stop,13364
231,231,GoAir,2019-01-04,Delhi,Cochin,DEL → BOM → COK,10:35,540,1 stop,5281
232,232,SpiceJet,2019-01-04,Mumbai,Hyderabad,BOM → HYD,5:45,90,non-stop,1965
233,233,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,21:10,665,1 stop,8849
234,234,Air India,2019-01-04,Kolkata,Banglore,CCU → HYD → BLR,19:00,890,1 stop,4227
235,235,Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,920,2 stops,10408
236,236,Jet Airways,2019-01-04,Delhi,Cochin,DEL → BOM → COK,16:00,1235,1 stop,5406
237,237,IndiGo,2019-01-04,Delhi,Cochin,DEL → HYD → COK,7:35,275,1 stop,5073
238,238,SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,6:55,155,non-stop,3873
239,239,Air India,2019-01-04,Kolkata,Banglore,CCU → GAU → IMF → DEL → BLR,16:45,1830,3 stops,8607
240,240,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,9:35,505,1 stop,11467
241,241,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,21:10,450,1 stop,13364
242,242,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,16:30,365,1 stop,12681
243,243,Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:30,1605,1 stop,7211
244,244,Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,18:55,185,non-stop,7229
245,245,Air India,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,16:50,905,1 stop,7893
246,246,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,1220,1 stop,12681
247,247,SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,9:00,145,non-stop,3873
248,248,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:25,800,1 stop,14151
249,249,Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,19:50,180,non-stop,7229
250,250,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,14:05,345,1 stop,13364
251,251,Jet Airways,2019-01-04,Mumbai,Hyderabad,BOM → HYD,2:55,85,non-stop,2228
252,252,Jet Airways,2019-01-04,Mumbai,Hyderabad,BOM → HYD,7:05,85,non-stop,8040
253,253,Air Asia,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,22:40,720,1 stop,5192
254,254,IndiGo,2019-01-04,Delhi,Cochin,DEL → HYD → COK,6:50,320,1 stop,5298
255,255,Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,7:10,1555,1 stop,7980
256,256,IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,9:35,165,non-stop,4174
257,257,Air India,2019-01-04,Banglore,Delhi,BLR → DEL,17:00,165,non-stop,5176
258,258,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,21:10,730,1 stop,13364
259,259,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,960,1 stop,7064
